Name,Ra,ra_Uncert,Dec,dec_Uncert,Ext,Ext_Uncert,K,K_Uncert,index,index_Uncert,TS,alpha,alpha_Uncert,beta,beta_Uncert,PS,Experiment
J0534+2200,83.6304,0.0012,22.0102,0.0012,0.0, ,6.0990e-21,3.3860e-23, , ,82677.457,-2.4959,0.0059,0.0888,0.003,True,4HWC
J1104+3810,166.148,0.0044,38.1824,0.0036,0.0912,0.0052,4.4190e-21,6.8820e-23, , ,10781.9832,-2.9519,0.0182,0.2826,0.0137,False,4HWC
J1840-0536,280.0969,0.0158,-5.6079,0.0201,0.5001,0.0275,4.5980e-21,6.1920e-22, , ,4600.375,-2.3594,0.0956,0.1142,0.0206,False,4HWC
J1837-0650,279.3475,0.0121,-6.8361,0.017,0.371,0.0196,4.3460e-21,3.9730e-22, , ,4304.767,-2.372,0.0729,0.1493,0.0216,False,4HWC
J1825-1337,276.4567,0.0065,-13.6276,0.0451,0.2691,0.0078,1.9340e-21,9.3130e-23, , ,3261.433,-1.7616,0.057,0.1494,0.0067,False,4HWC
J1843-0330,280.9552,0.0,-3.5074,0.0001,0.4444,0.0,1.4190e-21,8.6580e-25, , ,2757.315,-1.4915,0.0002,0.2667,0.0002,False,4HWC
J2018+3641,304.6711,0.0118,36.6934,0.008,0.2268,0.0063,2.5610e-22,9.8920e-24, , ,2262.188,-0.6364,0.0187,0.4298,0.0062,False,4HWC
J0633+1719,98.4817,0.0712,17.3228,0.0641,2.1958,0.0547,2.5800e-22,4.2840e-23, , ,1720.9255,0.4866,0.0994,0.6217,0.0162,False,4HWC
J1809-1923,272.3779,0.0154,-19.3869,0.0149,0.2572,0.0141,2.7870e-21,2.1370e-22,-2.5578,0.0276,1371.342, , , , ,False,4HWC
J2031+4128,307.9473,0.0156,41.4717,0.0128,0.2312,0.0123,4.3090e-22,7.8780e-23, , ,1283.251,-1.4053,0.0944,0.2781,0.0148,False,4HWC
J0701+1412,105.4011,0.0921,14.2161,0.0896,1.9712,0.0627,1.3440e-22,2.8480e-23, , ,1047.7672,1.0094,0.117,0.7914,0.016,False,4HWC
J1825-1256,276.4825,0.0109,-12.9405,0.0126,0.1617,0.0094,9.4690e-22,7.1520e-23,-2.3877,0.0255,902.099, , , , ,False,4HWC
J2021+3650,305.2794,0.0151,36.8489,0.0086,0.1535,0.0075,1.7340e-22,1.0330e-23, , ,850.719,-1.2116,0.0271,0.2537,0.0079,False,4HWC
J1825-1350,276.3073,0.0464,-13.8469,0.0463,1.1927,0.0326,1.1730e-20,3.6560e-22, , ,804.431,-2.6528,0.0226,0.1024,0.0087,False,4HWC
J1654+3944,253.5097,0.0117,39.7438,0.0089,0.0, ,1.0050e-21,5.2240e-23, , ,782.2806,-2.7474,0.0936,0.2758,0.0522,True,4HWC
J1912+1013,288.2277,0.0234,10.2234,0.0236,0.3816,0.0515,1.0570e-21,2.9440e-22, , ,777.193,-2.329,0.1173,0.1753,0.0171,False,4HWC
J2030+4056,307.6345,0.136,40.9492,0.103,1.809,0.0795,5.5330e-21,4.4340e-22, , ,730.647,-2.4832,0.0661,0.1115,0.0184,False,4HWC
J1814-1705,273.583,0.0411,-17.0868,0.0482,0.6631,0.0363,2.0840e-21,4.3030e-22, , ,717.215,-1.7802,0.0943,0.1951,0.0129,False,4HWC
J1851+0002,282.8516,0.0257,-0.0496,0.0197,0.4621,0.0158,8.0760e-22,6.8370e-23, , ,686.1716,-1.3783,0.0386,0.2995,0.0099,False,4HWC
J2006+3355,301.5701,0.0995,33.9178,0.0711,1.2759,0.064,2.5390e-21,1.7600e-22, , ,618.992,-2.3326,0.0459,0.1537,0.0148,False,4HWC
J1813-1747,273.3588,0.011,-17.7966,0.0116,0.0892,0.0145,5.5980e-22,1.4090e-22, , ,613.865,-1.4544,0.129,0.2616,0.0175,False,4HWC
J1857+0247,284.3431,0.0132,2.7972,0.0157,0.2731,0.0119,1.2960e-21,7.4590e-23, , ,593.1591,-1.8781,0.0537,0.3796,0.021,False,4HWC
J1928+1747,292.1357,0.0133,17.7984,0.0122,0.1746,0.0093,1.1690e-22,6.4370e-24, , ,498.435,-1.2231,0.0267,0.2879,0.0089,False,4HWC
J0634+1734,98.511,0.0529,17.5744,0.0567,0.8471,0.0468,1.9680e-24,2.5790e-25, , ,485.916,2.9916,0.0183,1.0625,0.0138,False,4HWC
J1928+1843,292.1601,0.0308,18.7287,0.0288,0.466,0.0297,6.4260e-22,3.2930e-23,-2.4997,0.0194,454.913, , , , ,False,4HWC
J0542+2315,85.7388,0.0933,23.2655,0.0699,0.9813,0.0651,2.9740e-22,1.7920e-22, , ,410.551,-1.1488,0.2724,0.2976,0.0246,False,4HWC
J1908+0845,287.0259,0.0575,8.7599,0.0755,0.7625,0.0404,1.1480e-21,7.8330e-23,-2.718,0.0273,378.471, , , , ,False,4HWC
J1834-0828,278.6052,0.0265,-8.4787,0.0366,0.3592,0.0288,1.8360e-21,1.7800e-22, , ,358.5687,-2.7714,0.0633,0.0459,0.0206,False,4HWC
J1830-1006,277.7244,0.0283,-10.1116,0.0314,0.7084,0.0289,3.1890e-21,5.3520e-22, , ,358.5635,-2.1559,0.125,0.1304,0.0236,False,4HWC
J1945+2434,296.3684,0.1746,24.5759,0.1615,1.6654,0.11,2.4690e-21,2.5670e-22, , ,339.5489,-2.6088,0.0512,0.112,0.0246,False,4HWC
J1922+1405,290.7365,0.0108,14.0861,0.009,0.0844,0.0134,2.5390e-22,9.6810e-23,-2.6213,0.1623,303.57, , , , ,False,4HWC
J2228+6058,337.0636,0.0598,60.973,0.0326,0.3112,0.0223,1.4380e-21,1.5210e-22,-2.575,0.0349,283.661, , , , ,False,4HWC
J1857+0200,284.476,0.0141,2.004,0.0179,0.1815,0.0132,4.6280e-22,4.4390e-23,-2.4487,0.0337,272.6826, , , , ,False,4HWC
J1854+0120,283.5796,0.0563,1.3393,0.061,0.8783,0.0402,2.2520e-21,1.2830e-22,-2.7293,0.0212,272.6745, , , , ,False,4HWC
J1848+0000,282.2404,0.0108,0.0091,0.0116,0.0796,0.0149,2.9760e-23,2.0000e-23, , ,271.5449,-0.4417,0.2528,0.3582,0.0188,False,4HWC
J1923+1631,290.9323,0.0724,16.5314,0.0739,0.8961,0.0383,8.9850e-22,5.2350e-23,-2.6245,0.0242,270.286, , , , ,False,4HWC
J1848-0140,282.1103,0.0206,-1.6673,0.0264,0.4329,0.0156,1.3650e-21,9.4200e-23, , ,269.0521,-2.0258,0.0461,0.1893,0.0124,False,4HWC
J1958+2851,299.5978,0.0396,28.8532,0.0343,0.3264,0.0279,2.1600e-22,3.2690e-23,-2.3366,0.0498,268.949, , , , ,False,4HWC
J1813-1244,273.3559,0.023,-12.7454,0.0262,0.2281,0.0923,7.0130e-22,4.4020e-22,-2.5878,0.0996,266.681, , , , ,False,4HWC
